"# of Use","# Terpakai"
"Expand All","Expand All"
"Failed","Gagal"
"Failed to move file: %s","Gagal dalam memindahkan file: %s"
"Feature Products","Produk Istimewa"
"File options format is not valid","File options format is not valid"
"File upload failed","File upload failed"
"Filter model name must be declared","Saringan untuk nama model harus dideklarasikan"
"Filter must be as object. Set correct filter please","Saringan harus berupa obyek. Tolong set saringan dengan benar"
"Filterable (no results)","Dapat Disaring (tidak ada hasil)"
"Filterable (with results)","Dapat Disaring (dengan hasil)"
"Filters must be as array","Saringan harus berupa array"
"First Name","Nama Depan"
"Fixed","Tetap"
"Flat Catalog module has a limit of %2$d filterable and/or sort able attributes. Currently there are %1$d. Please reduce the number of filterable/sort able attributes in order to use this module.","Flat Catalog module has a limit of %2$d filterable and/or sort able attributes. Currently there are %1$d. Please reduce the number of filterable/sort able attributes in order to use this module."
"For internal use. Must be unique with no spaces","Untuk keperluan internal. Harus unik tanpa ada spasi"
"For reindex enabled product(s) you need specify store or product","For reindex enabled product(s) you need specify store or product"
"Frontend","Halaman Muka"
"Frontend Model","Model Halaman Muka"
"Frontend Properties","Properti Halaman Muka"
"Gallery","Galeri"
"General Information","Informasi Umum"
"Get special price","Get special price"
"Global","Global"
"Globally Editable","Dapat diubah secara Global"
"Go to Home Page","Go to Home Page"
"Grid","Grid"
"Grouped Product","Kelompok Produk"
"Groups","Kelompok Pelanggan"
"Home","Beranda"
"ID","ID"
"ID: %s","ID: %s"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","If you do not specify an option value for a specific store view then the default (Admin) value will be used."
"Image","Gambar"
"Image content is not valid base64 data.","Image content is not valid base64 data."
"Image file not found","Gambar tidak ditemukan"
"Image not exists","Gambar tidak ada"
"Image not specified.","Image not specified."
"Image type and information need to be specified for each store view.","Tipe gambar dan informasi perlu di spesifikasikan untuk setiap tampilan toko"
"In Stock","Stok Ada"
"In stock","Tersedia"
"In stock.","In stock."
"Incl. Tax","Incl. Tax"
"Input Type","Input Type"
"Input Validation for Store Owner","Masukan Validari untuk Pemilik Toko"
"Integer","Integer"
"Integer Number","Angka Integer"
"Invalid Tier Prices","Invalid Tier Prices"
"Invalid attribute %s","Invalid attribute %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record","Spesifikasi atribut pilihan tidak valid untuk atribut %s (%s), melewatkan record"
"Invalid attribute set specified, skipping the record","Set atribut tidak valid, melewatkan record"
"Invalid block: %s","Blok tidak valid: %s"
"Invalid category","Invalid category"
"Invalid category IDs","ID kategoti tidak valid"
"Invalid image file type","Tipe file gambar tidak valid"
"Invalid image type.","Invalid image type."
"Invalid option id specified for %s (%s), skipping the record","Spesifikasi id pilihan tidak valid untuk %s (%s), melewatkan record"
"Invalid product type specified, skipping the record","Tipe produk tidak valid, melewatkan record"
"Invalid store specified","Spesifikasi toko tidak valid"
"Invalid store specified, skipping the record","Spesifikasi toko tidak valid, melewatkan rekord"
"Inventory","Inventoris"
"Is Default","Adalah Patokan"
"Is Required","Is Required"
"Items %s to %s of %s total","Barang ke %s sampai ke %s dari total %s"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Barang yang tidak ingin anda tampilkan dalam katalog dan pencarian harus memiliki status ""Tidak Aktif"" pada toko yang diinginkan."
"Label","Label"
"Last Name","Nama Belakang"
"Last Notification","Peringata Terakhir"
"Learn More","Pelajari Lagi"
"Length of text is too long","Length of text is too long"
"Letters","Huruf"
"Letters(a-zA-Z) or Numbers(0-9)","Huruf(a-zA-Z) atau Angka(0-9)"
"Line %d, Email: %s","Baris %d, Email: %s"
"Line %d, SKU: %s","Baris %d, SKU: %s"
"Link (Related, Up sell, Cross sell)","Link (Related, Up sell, Cross sell)"
"Link product not exists.","Link product not exists."
"List","List"
"List Mode","Mode Daftar"
"Manage Attribute Sets","Mengurus Set Atribut"
"Manage Attributes","Mengurus Atribut"
"Manage Catalog Categories","Mengurus Kategori Katalog"
"Manage Categories","Mengurus Kategori Katalog"
"Manage Label / Options","Mengurus Label / Pilihan"
"Manage Options (values of your attribute)","Mengurus Pilihan (nilai dari atribut anda)"
"Manage Product Attributes","Mengurus Atribut Produk"
"Manage Product Sets","Mengurus Set Atribut"
"Manage Products","Mengurus Produk"
"Manage Stock","Manage Stock"
"Manage Titles (Size, Color, etc.)","Mengurus Judul (Ukuran, Warna, dll)"
"Max Characters","Max Characters"
"Maximal Depth","Maximal Depth"
"Maximum Image Size","Maximum Image Size"
"Maximum Qty Allowed in Shopping Cart","Maksimum Kuantitas yang diperbolehkan dalam Keranjang Belanja."
"Maximum image height","Maximum image height"
"Maximum image width","Maximum image width"
"Maximum number of characters","Maximum number of characters"
"Media Image","Gambar Media"
"Minimum Lines Per Page","Minimum Lines Per Page"
"Minimum Qty Allowed in Shopping Cart","Minimum Kuantitas yang diperbolehkan dalam Keranjang Belanja."
"Minimum Qty for Item's Status to be Out of Stock","Minimum Kuantitas agar Status Barang menjadi Tidak ada Stok"
"Missing SKU, skipping the record","Kehilangan SKU, melewatkan record"
"More Views","Gambar Selengkapnya"
"Move","Move"
"Move category in tree","Move category in tree"
"Multiple Select","Pilihan Banyak"
"Name","Nama"
"Name In %s","Nama di %s"
"Name<br/>(For internal use)","Nama<br/>(Untuk keperluan internal)"
"New Category","Kategori Baru"
"New Product","Produk Baru"
"New Product Attribute","Atribut Produk Baru"
"New Products","Produk Baru"
"New Search","Pencarian Baru"
"New Set Name","Set Nama Baru"
"Next","Lanjut"
"No","Tidak"
"No image","Tidak ada gambar"
"No layout updates","Tidak ada perubahan layout"
"No options of this product are available.","Tidak ada pilihan dari produk ini yang ada."
"No product collections found","Tidak ada koleksi produk yang ditemukan"
"None","Tidak ada"
"Not shared with other products","Tidak dibagikan ke produk lain"
"Notify Low Stock RSS","RSS untuk Peringan Stok Habis"
"Notify for Quantity Below","Peringatan Kuantitas hampir habis"
"Nowhere","Tidak dimana-mana"
"Number of Uses","Digunakan sebanyak"
"Number of results<br/>(For last time placed)","Hasil sebanyak<br/>(Untuk diletakan terakhir)"
"OR","ATAU"
"Old Price:","Harga Lama:"
"Option validation failed to add product to cart","Option validation failed to add product to cart"
"Option:","Pilihan:"
"Options Control","Kontrol Pilihan"
"Options is required","Pilihan di perlukan"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Our customer service is available 24/7. Call us at (555) 555-0123."
"Out of Stock","Stok Habis"
"Out of stock","Stok Habis"
"Out of stock.","Stok Habis."
"PM","PM"
"Page Title Separator","Pembatas Judul Halaman"
"Page:","Halaman:"
"Parent Category","Kategori Atas"
"Pending","Tunda"
"Pending Reviews RSS","RSS dari review yang ditunda"
"Percentage","Persentasi"
"Please add rows to option.","Please add rows to option."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost."
"Please click on Close Window button if it won't be closed automatically","Tolong klik pada tombol Tutup Jendela jika tidak tertutup secara otomatis."
"Please enter a new group name","Tolong masukan nama kelompo yang baru"
"Please refresh ""Catalog Rewrites"" and ""Layered Navigation Indices"" in System -> <a href=""%s"">Cache Management</a>","Please refresh ""Catalog Rewrites"" and ""Layered Navigation Indices"" in System -> <a href=""%s"">Cache Management</a>"
"Please select  items","Please select  items"
"Please select one or more attributes.","Tolong pilih satu atau beberapa atribu."
"Please select product(s)","Tolong pilih produk"
"Please select products for attributes update","Tolong pilih produk untuk atribut yangdiperbaharui"
"Please select static block ...","Tolong pilik blok statis ..."
"Please set up merge date/time .","Please set up merge date/time ."
"Please specify date required option(s)","Please specify date required option(s)"
"Please specify the product option(s)","Please specify the product option(s)"
"Please specify the product required option(s)","Please specify the product required option(s)"
"Please specify the product(s) quantity","Please specify the product(s) quantity"
"Please specify time required option(s)","Please specify time required option(s)"
"Please, use four-digit year format","Please, use four-digit year format"
"Position","Posisi"
"Position In Layered Navigation","Posisi Pada Navigasi Bertumpuk"
"Position of attribute in layered navigation block","Posisi atribut pada blok Navigasi Bertumpuk"
"Prev","Sebelum"
"Previous","Sebelum"
"Price","Harga"
"Price Type","Price Type"
"Price values for options should be specified in system base currency.","Nilai harga untuk pilihan harus di spesifikkan pada mata uang sistem."
"Price:","Harga:"
"Print This Page","Cetak Halaman Ini"
"Problem saving the collection, aborting. Error: %s","Kesulitan menyimpan koleksi, membatalkan. Kesalahan: %s"
"Product","Product"
"Product %s successfully added to compare list","Produk %s berhasil diTambah ke daftar perbandingan"
"Product %s successfully removed from compare list","Produk %s berhasil dibuang dari daftar perbandingan"
"Product API","Product API"
"Product Alerts","Peringatan Produk"
"Product Attribute","Atribut Produk"
"Product Attributes","Atribut Produk"
"Product Categories","Kategori Produk"
"Product Description","Deskripsi Produk"
"Product Image Placeholders","Product Image Placeholders"
"Product Image Watermarks","Product Image Watermarks"
"Product Images","Product Images"
"Product Images API","Product Images API"
"Product In Websites","Produk dalam Website"
"Product Info Column","Product Info Column"
"Product Information","Informasi Produk"
"Product Name","Nama Produk"
"Product Reviews","Review Produk"
"Product Tags","Tag Produk"
"Product Tier Price API","Product Tier Price API"
"Product Type","Tipe Produk"
"Product URL Suffix","Product URL Suffix"
"Product attribute sets API","Product attribute sets API"
"Product attribute was successfully deleted","Atribut Produk telah berhasil dihapus"
"Product attribute was successfully saved","Atribut Produk telah berhasil disimpan"
"Product attributes API","Product attributes API"
"Product collection expected","Koleksi Produk diharapkan"
"Product deleted","Produk telah dihapus"
"Product duplicated","Duplikasi Produk"
"Product has required options","Product has required options"
"Product links API (related, cross sells, up sells)","Product links API (related, cross sells, up sells)"
"Product listing sort by","Product listing sort by"
"Product saving error.","Kesalahan saat menyimpan produk."
"Product saving error. ","Product saving error. "
"Product types API","Product types API"
"Product was successfully created.","Produk berhasil dibuat."
"Product was successfully saved.","Produk berhasil disimpan."
"Product with this combination of attributes already associated to configurable.","Produk dengan kombinasi atribut ini telah diasosiasikan ke dapat dikonfigurasikan."
"Products","Produk"
"Products Information","Informasi Produk"
"Products Reviews","Review Produk"
"Products Sitemap","Peta Situs Produk"
"Products only","Hanya Produk"
"Products per Page on Grid default value","Products per Page on Grid default value"
"Products per Page on List allowed values","Products per Page on List allowed values"
"Products per Page on List default value","Products per Page on List default value"
"Products per page on Grid allowed values","Products per page on Grid allowed values"
"Properties","Properti"
"Qty","Kuantitas"
"Qty Uses Decimals","Kuantitas Mengunakan Desimal"
"Qty for Item's Status to become Out of Stock","Qty for Item's Status to become Out of Stock"
"Quick Create","Pembuatan Cepat"
"Quick Overview","Sinopsis"
"Quick simple product creation","Pembuatan produk sederhasan secara cepat"
"Records for ""","Catatan untuk """
"Redirect","Redirect"
"Redirect URL","Redirect URL"
"Regular Price:","Harga Normal:"
"Related Products","Produk Sejenis"
"Remove","Buang"
"Remove Product","Buang Produk"
"Remove Product From Websites","Remove Product From Websites"
"Remove This Item","Buak Baran Ini"
"Remove product assignment","Remove product assignment"
"Remove product image","Remove product image"
"Remove product link","Remove product link"
"Required","Diperlukan"
"Reset","Reset"
"Results","Hasil"
"Retrieve attribute data","Retrieve attribute data"
"Retrieve attribute list","Retrieve attribute list"
"Retrieve attribute options","Retrieve attribute options"
"Retrieve categories tree","Retrieve categories tree"
"Retrieve category attributes","Retrieve category attributes"
"Retrieve category data","Retrieve category data"
"Retrieve hierarchical tree","Retrieve hierarchical tree"
"Retrieve linked products","Retrieve linked products"
"Retrieve list of assigned products","Retrieve list of assigned products"
"Retrieve one level of categories by website/store view/parent category","Retrieve one level of categories by website/store view/parent category"
"Retrieve product","Retrieve product"
"Retrieve product attribute sets","Retrieve product attribute sets"
"Retrieve product image","Retrieve product image"
"Retrieve product image list","Retrieve product image list"
"Retrieve product image types","Retrieve product image types"
"Retrieve product link type attributes","Retrieve product link type attributes"
"Retrieve product link types","Retrieve product link types"
"Retrieve product tier prices","Retrieve product tier prices"
"Retrieve product types","Retrieve product types"
"Retrieve products data","Retrieve products data"
"Retrieve products list by filters","Retrieve products list by filters"
"Review successfully deleted","Review berhasil dihapus"
"Review was saved successfully","Review berhasil disimpan"
"Review was successfully saved","Review berhasil disimpan"
"Reviews","Review"
"Roll Over for preview","Taruh kursor pada gambar untuk contoh tampilan"
"Root","Root"
"SKU","SKU"
"Save","Simpan"
"Save And Continue Edit","Simpan Dan Teruskan Merubah"
"Save Attribute","Simpan Atribut"
"Save Attribute Set","Simpan Set Atribut"
"Save Category","Simpan Ketegori"
"Save Search","Simpan Pencarian"
"Saved ","Tersimpan"
"Scope","Cakupan"
"Search","Pencarian"
"Search Engine Optimizations","Optimasi Mesin Pencarian"
"Search Information","Informasi Pencarian"
"Search Query","Query Pencarian"
"Search Term was successfully saved","Istilah Pencarian berhasil disimpan"
"Search Term with such search query already exist.","Isitilah pencarian dengan query pencarian seperti itu sudah ada"
"Search was successfully deleted","Pencarian berhasil di hapus"
"Searchable","Dapat Dicari"
"Select Configurable Attributes ","Pilih Atribut yang Terkonfigurasi"
"Select type of option","Select type of option"
"Select type options required values rows.","Select type options required values rows."
"Selected Product Types","Pilih Tipe Produk"
"Selected configuration is not available.","Selected configuration is not available."
"Send Count","Banyak Terkirim"
"Set Ascending Direction","Set Arah secara Ascending"
"Set Descending Direction","Set Arah secara Descending"
"Set Name","Set Nama"
"Set Root Category For Store","Set Kategori Root untuk Toko"
"Set root category for this store in the <a href=""%s"">configuration</a>","Set kateogri root untuk toko ini di <a href=""%s"">konfigurasi</a>"
"Set special price","Set special price"
"Set/Get current store view","Set/Get current store view"
"Settings","Seletan"
"Shop by","Kriteria Produk"
"Shopping Options","Pilih sesuai keinginan"
"Show","Tampilkan"
"Show Details","Show Details"
"Show Tags","Show Tags"
"Simple Product","Produk Sederhana"
"Site Map","Peta Situs"
"Sitemap","Sitemap"
"Skip import row, is not valid value ""%s"" for field ""%s""","Melewatkan baris untuk diimport, nilai ""%s"" tidak valid untuk field ""%s"""
"Skip import row, required field ""%s"" for new customer not defined","Melewatkan baris untuk diimpor, field yang diperlukan ""%s"" untuk pelanggan baru tidak didefinisikan"
"Skip import row, required field ""%s"" for new products not defined","Melewatkan baris untuk diimpor, field yang diperlukan ""%s"" untuk produk baru tidak didefinisikan"
"Skip import row, required field ""%s"" not defined","Melewatkan baris untuk diimpor, field yang diperlukan ""%s"" tidak didefinisikan"
"Skip import row, store ""%s"" field not exists","Melewatkan baris untuk diimpor, field toko ""%s"" tidak ada"
"Sort Order","Urutan Pengurutan"
"Sort by","Urutkan berdasar"
"Source Model","Sumber Model"
"Special Price:","Harga Spesial"
"Starting at:","Dimulai dari:"
"Static","Statis"
"Static block and products","Blok statis dan produk"
"Static block only","Blok statis saja"
"Status","Status"
"Stock Availability","Ketersediaan Stok"
"Store","Toko"
"Store View","Tampilan Toko"
"Stretch","Renggang"
"Subscribe to Feed","Mendaftarkan diri ke Feed"
"Subscribe to RSS Feed","Mendaftarkan diri ke RSS Feed"
"Super product attributes configuration","Konfigurasy atribut dair produk super"
"Synonym For","Sinonim Untuk"
"Synonym for","Sinonim untuk "
"System","Sistem"
"System Properties","Properti Sistem"
"Tag Name","Nama tag"
"Tax","Tax"
"Text","Teks"
"Text Area","Area Teks"
"Text Field","Field Teks"
"There are no %s available.","Tidak ada %s yang tersedia."
"There are no customers for this alert","Tidak ada pelanggan untuk peringatan ini"
"There are no products matching the selection.","Tidak ada produk yang sesuai dengan kriteria yang Anda pilih."
"There was an error while adding products to websites","There was an error while adding products to websites"
"There was an error while cleared compare list","There was an error while cleared compare list"
"There was an error while removing products from websites","There was an error while removing products from websites"
"There was an error while updating product(s) attributes","Terjadi kesalahan dalam pembaharuan atribut produk"
"There was an error while updating product(s) status","There was an error while updating product(s) status"
"This attribute no longer exists","Atribut ini sudah tidak ada lagi"
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","This group contains attributes, used in configurable products. Please move these attributes to another group and try again."
"This group contains system attributes. Please move system attributes to another group and try again.","Kelompok ini mengandung atribut sistem. Tolong pindahkan atribut sistem ke kelompok lain dan coba lagi."
"This is a required option","This is a required option"
"This search no longer exists","Pencarian ini sudah tidak ada lagi"
"Tier Pricing","Deretan Harga"
"Tile","Kotak-Kotak"
"Time format","Time format"
"Title","Title"
"Top/Left","Atas/Kiri"
"Top/Right","Atas/Kanan"
"Total Qty Base Items","Total Qty Base Items"
"Total incl. Tax: %1$s","Total incl. Tax: %1$s"
"Total of %d record(s) were successfully deleted","Total %d record berhasil dihapus"
"Total of %d record(s) were successfully updated","Total %d record berhasil diperbaharui"
"Type","Tipe"
"Unable to complete request. Please try again later.","Tidak dapat menyelesaikan permintaan. Tolong coba lagi nanti."
"Unable to find a search term to delete","Tidak dapat menemukan istilah pencarian untuk dihapus"
"Unable to find an attribute to delete","Tidak dapat menemukan atribut tntuk dihapus"
"Unable to get product id.","Tidak dapat mengambil id produk."
"Unassigned Attributes","Atribut yang tidak ditugaskan"
"Unique Value","Nilai Unik"
"Unique Value (not shared with other products)","Nilai Unik (tidak dibagikan untuk produk lain)"
"Unknown attribute: %s","Atribut tidak diketahui: %s"
"Up-sells","Up-sells"
"Update","Update"
"Update Attributes","Update Attributes"
"Update Tier Price","Update Tier Price"
"Update assigned product","Update assigned product"
"Update attributes","Perbaharui Atribut"
"Update category","Update category"
"Update product","Update product"
"Update product image","Update product image"
"Update product link","Update product link"
"Update product tier prices","Update product tier prices"
"Upload new product image ","Upload new product image "
"Url","Url"
"Url Rewrite Management","Pengurusan Url Rewrite"
"Url rewrie save problem.","Url rewrie save problem."
"Use Config Settings","Gunakan setelan konfigurasi"
"Use Default Value","Gunakan Nilai Patokan"
"Use Flat Catalog Category","Use Flat Catalog Category"
"Use Flat Catalog Product","Use Flat Catalog Product"
"Use In Layered Navigation","Gunakan dalan Navigasi Bertumpuk"
"Use In Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Gunakan dalan Navigasi Bertumpuk<br/>(Hanya bisa digunakan pada katalog dengan tipe masukan 'Dropdown')"
"Use In Search Results Layered Navigation","Use In Search Results Layered Navigation"
"Use JavaScript Calendar","Use JavaScript Calendar"
"Use To Create Configurable Product","Gunakan untuk Membuat Produk yang dapat Dikonfigurasikan"
"Use Tree Like Category Sitemap","Use Tree Like Category Sitemap"
"Use categories path for product URLs","Gunakan path kategori untuk URL produk"
"Use in advanced search","Gunakan di pencarian lanjut"
"Use in quick search","Gunakan dalam pencarian cepat"
"Used for sorting in product listing","Used for sorting in product listing"
"Used in product listing","Used in product listing"
"Values Required","Nilai Diperlukan"
"Varchar","Varchar"
"View as","Ubah tampilan"
"Virtual Product","Virtual Product"
"Visibility","Penampakan"
"Visible","Tampak"
"Visible on Catalog Pages on Front-end","Tampak pada Halam Katalog pada Halaman Depan"
"Visible on Product View Page on Front-end","Visible on Product View Page on Front-end"
"Watermark","Stampel"
"Watermark Default Size","Ukuran Patokan Stampel"
"Watermark Position","Letak Stampel"
"We Also Recommend","We Also Recommend"
